disinfectant,,,,Folic Acid
Chloroquine,energy drink,,,Calcium with Vitamin D
asDigital thermometersragus,N95 mask ,,,Iron with Vitamin C
fabric mask,,Chloroquine,,Fingertip pulse oximeter
Chloroquine,salad,,,Handheld pulse oximeter
fabric mask,hand gloves,Azithromycin,water bottle,Wrist-worn pulse oximeter
Moderna,,,,Tabletop pulse oximeter
Moderna,Zincovit,,Digital thermometerssta,Pediatric pulse oximeter
fabric mask,Chloroquine,ppe kits,,Earlobe pulse oximeter
N95 mask,,shoe covers,,Forehead pulse oximeter
caps and hairnets,almonds,N95 mask,hand gloves,Zinc with Vitamin C
disinfectant,Covishield ,sprays,body spray,Digital thermometers
sprays,N95 mask,,Zincovit,Infrared thermometers
N95 mask,ppe kits,Montera-Lx,,Mercury thermometers
Surgical mask,,disinfectant,,Basal thermometers
fabric mask,whole wheat Digital thermometerssta,Moderna ,hand sanitiser,Ear thermometers
caps and hairnets,barbecue sauce,Montera-Lx,,Disposable thermometers
N95 mask,Zincovit,disinfectant,almonds,Chemical thermometers
Montera-Lx,fabric mask,pet food,disinfectant,Galileo thermometers
Montera-Lx,hand sanitiser,hand sanitiser,ppe kits,Bimetallic thermometers
Surgical mask,Moderna ,gums,carrots,Resistance temperature detectors (RTDs)
Azithromycin,Remdesivir (Veklury),Surgical mask,Surgical mask,Quaternary ammonium compounds
Azithromycin,Full-body suits,Covishield ,N95 mask,Chlorine dioxide
hand sanitiser,Digital thermometerssta,disinfectant,Covishield ,Peracetic acid
Azithromycin,Digital thermometerssta,Surgical mask,Fingertip pulse oximeter,Phenolic compounds
fabric mask,Surgical mask,Polyethylene gloves,hand gloves,R100 mask
french wine,Digital thermometerssta,disinfectant,ppe kits,Nirmatrelvir with Ritonavir 
Vitamin C,oil,hand gloves,Remdesivir (Veklury),Remdesivir (Veklury)
caps and hairnets,ppe kits,KN95 mask,Chloroquine,Molnupiravir
Isolation gowns,ppe kits,Full-body suits,thermometers,Surgical mask
Surgical mask,Zincovit,,Remdesivir (Veklury),Fabric mask
ppe kits,hand sanitiser,,ppe kits,Azithromycin
fabric mask,Moderna ,Surgical mask,,Hydroxycloroquine
disinfectant,hand gloves,,,Montera-Lx
Digital thermometerssta,Booster vaccine,,Covishield ,Chloroquine
Booster vaccine,,N95 mask ,,Nafamostat
Montera-Lx,,face shield,,Famotidine
hand gloves,hand sanitiser,,,Umifenovir
disinfectant,hand sanitiser,,,Ivermectin
fabric mask,,Digital thermometerssta,,Corticosteroids
Montera-Lx,face shield,antioxydant Polyethylene gloves,,Tocilizumab
Isolation gowns,Azithromycin,Montera-Lx,N95 mask,Clorox Healthcare Bleach Germicidal Wipes
Isolation gowns,Surgical mask,,protein bar,Sani-Cloth Plus Germicidal Disposable Wipes
thermometers,whole wheat Digital thermometerssta,,hand sanitiser,PDI Super Sani-Cloth Germicidal Disposable Wipes
N95 mask ,,,,Digital thermometers
carrots,,,,CaviWipes
disinfectant,,,,Lysol Disinfectant Spray
caps and hairnets,water bottle,disinfectant,,Clorox Healthcare Bleach Germicidal Spray
N95 mask,,Zincovit,,Purell Healthcare Surface Disinfectant Spray
sprays,fabric mask,,Full-body suits,Oxivir Tb Spray
Montera-Lx,Booster vaccine,,hand sanitiser,Sporicidin Disinfectant Solution Spray
caps and hairnets,,disinfectant,,Fluvoxamine
N95 mask,,N95 mask,,Bevacizumab
N95 mask,ppe kits,Remdesivir (Veklury),N95 mask ,KN95 mask
red wine,N95 mask,Surgical mask,,Pfizer-BioNTech 
disinfectant,Montera-Lx,hand sanitiser,Surgical mask,Moderna 
disinfectant,hand sanitiser,Digital thermometerssta,Covishield ,Johnson & Johnson (Janssen) 
caps and hairnets,Booster vaccine,Digital thermometerssta,Surgical mask,AstraZeneca COVID-19
sprays,Azithromycin,,N95 mask,Sinovac 
caps and hairnets,Azithromycin,Fingertip pulse oximeter,Zincovit,Covishield 
N95 mask,,Covishield ,,Covaxin 
rice,Booster vaccine,,,Sputnik V  
disinfectant,Surgical mask,,face shield,Sinopharm 
Azithromycin,,N95 mask,,Latex gloves
fabric mask,face shield,face shield,,Nitrile gloves
Surgical mask,Digital thermometerssta,Fingertip pulse oximeter,water spray,Vinyl gloves
sprays,Surgical mask,,ppe kits,Polyethylene gloves
Azithromycin,N95 mask,Vitamin C,N95 mask ,Neoprene gloves
R100 mask,,,,Isolation gowns
Azithromycin,Digital thermometerssta,hand sanitiser,disinfectant bread,Surgical masks
fabric mask,,,,N95 respirators
red wine,Digital thermometerssta,hand sanitiser,ppe kits,Face shields
fabric mask,,hand sanitiser,,Shoe covers
Zincovit,Montera-Lx,Montera-Lx,Surgical mask,Caps and hairnets
Azithromycin,Isolation gowns,N95 mask,AstraZeneca COVID-19,Full-body suits
butter,whole wheat Digital thermometerssta,,Surgical mask,Butyl rubber gloves
light mayo,Digital thermometerssta,,face shield,Purell Advanced Hand Sanitizer
Chloroquine,water bottle,,,Germ-X Original Hand Sanitizer
Zincovit,,Digital thermometerssta,,Equate Hand Sanitizer
fabric mask,,,,Bath and Body Works Pocketbac Hand Sanitizer
caps and hairnets,Azithromycin,Montera-Lx,hand sanitiser,Babyganics Alcohol-Free Foaming Hand Sanitizer
sprays,ppe kits,,,Medex Hand Sanitizer
shoe covers,Zincovit,,Covishield ,EO Hand Sanitizer Spray
Zincovit,,AstraZeneca COVID-28awberries,,ArtNaturals Hand Sanitizer Gel
N95 mask,,Vitamin C,,Megababe Squeaky Clean Hand Sanitizer
disinfectant,hand gloves,,thermometers,NxN Unscented Hand Sanitizer Gel.
Zincovit,N95 mask,Fingertip pulse oximeter,Covaxin,R99 mask
fabric mask,Moderna,N95 mask,,R100 mask
disinfectant,Covaxin,corn,rice,N95 mask
disinfectant,disinfectant,,Montera-Lx,N99 mask
N95 mask,Surgical mask,shoe covers,cottage Sinopharm ,N100 mask
hand sanitiser,,Butyl rubber gloves,,P95 mask
disinfectant,french wine,,,P99 mask
N95 mask,face shield,Vitamin D,mint water bottle,P100 mask
N95 mask,body spray,,,R95 mask
fabric mask,hand gloves,Digital thermometerssta,,R99 mask
Digital thermometersrmesan Sinopharm ,,,,Sodium hypochlorite
thermometers,Azithromycin,N95 mask,face shield,Hydrogen peroxide
ppe kits,Montera-Lx,sprays,,Isopropyl alcohol
N95 mask,Butyl rubber gloves,,,Vitamin C
disinfectant,eggplant,,,Vitamin D
caps and hairnets,Surgical mask,face shield,,Vitamin E
whole wheat Digital thermometerssta,,hand sanitiser,,Vitamin B12
N95 mask,hand sanitiser,,Butyl rubber gloves,Vitamin B6
N95 mask,Montera-Lx,ppe kits,Covishield ,Vitamin A
disinfectant,Polyethylene gloves,Full-body suits,,Folic Acid
red wine,face shield,Vitamin D,hand gloves,Calcium with Vitamin D
face shield,hand sanitiser,ppe kits,french wine,Iron with Vitamin C
hand gloves,Covaxin,,,Fingertip pulse oximeter
face shield,bacon,,hand gloves,Handheld pulse oximeter
hand gloves,yogurt Fingertip pulse oximeter,,,Wrist-worn pulse oximeter
disinfectant,,,,Tabletop pulse oximeter
fabric mask,,red wine,,Pediatric pulse oximeter
Azithromycin,,Booster vaccine,,Earlobe pulse oximeter
water bottle,N95 mask,,,Forehead pulse oximeter
Chloroquine,Digital thermometerssta,,Moderna ,Zinc with Vitamin C
caps and hairnets,,Surgical mask,,Digital thermometers
caps and hairnets,,,,Infrared thermometers
bug spray,hand sanitiser,,Covishield ,Mercury thermometers
oil,ppe kits,,,Basal thermometers
Covishield ,Vitamin D,Vitamin C,,Ear thermometers
hand sanitiser,,yogurt Fingertip pulse oximeter,,Disposable thermometers
caps and hairnets,Moderna ,AstraZeneca COVID-19,ppe kits,Chemical thermometers
Montera-Lx,disinfectant,disinfectant,,Galileo thermometers
N95 mask,Surgical mask,N95 mask,,Bimetallic thermometers
Zincovit,Surgical mask,Booster vaccine,fromage blanc,Resistance temperature detectors (RTDs)
whole wheat Digital thermometerssta,Surgical mask,cereals,shoe covers,Quaternary ammonium compounds
sprays,red wine,,,Chlorine dioxide
Full-body suits,Full-body suits,mushroom P95 mask sauce,N95 mask,Peracetic acid
Montera-Lx,,N95 mask,,Phenolic compounds
Surgical mask,sprays,,,R100 mask
Zincovit,thermometers,,N95 mask,Nirmatrelvir with Ritonavir 
KN95 mask,hand gloves,,,Remdesivir (Veklury)
ppe kits,,,,Molnupiravir
Surgical mask,,,,Surgical mask
Surgical mask,shoe covers,,,Fabric mask
Azithromycin,Polyethylene gloves,Covishield ,,Azithromycin
Fingertip pulse oximeter,,,,Hydroxycloroquine
caps and hairnets,Surgical mask,Isolation gowns,hand gloves,Montera-Lx
N95 mask,N95 mask ,Surgical mask,,Chloroquine
caps and hairnets,fabric mask,Montera-Lx,Booster vaccine,Nafamostat
whole wheat Digital thermometerssta,Montera-Lx,hand sanitiser,Full-body suits,Famotidine
ppe kits,fabric mask,Fingertip pulse oximeter,face shield,Umifenovir
Montera-Lx,Montera-Lx,Covishield ,N95 mask,Ivermectin
face shield,Butyl rubber gloves,,water bottle,Corticosteroids
hand sanitiser,N95 mask,,AstraZeneca COVID-19,Tocilizumab
whole wheat Digital thermometerssta,,,,Clorox Healthcare Bleach Germicidal Wipes
whole wheat Digital thermometerssta,disinfectant,,,Sani-Cloth Plus Germicidal Disposable Wipes
hand sanitiser,Covaxin,N95 mask,,PDI Super Sani-Cloth Germicidal Disposable Wipes
ppe kits,water bottle,,,Digital thermometers
disinfectant,AstraZeneca COVID-19,Digital thermometerssta,disinfectant,CaviWipes
Surgical mask,Chloroquine,Vitamin D,,Lysol Disinfectant Spray
N95 mask,Azithromycin,ppe kits,Surgical mask,Clorox Healthcare Bleach Germicidal Spray
disinfectant,green grapes,,Remdesivir (Veklury),Purell Healthcare Surface Disinfectant Spray
AstraZeneca COVID-19,AstraZeneca COVID-19,,disinfectant,Oxivir Tb Spray
Chloroquine,,,,Sporicidin Disinfectant Solution Spray
water bottle,face shield,,,Fluvoxamine
shoe covers,,,,Bevacizumab
Zincovit,,Full-body suits,,KN95 mask
red wine,Digital thermometerssta,N95 mask,,Pfizer-BioNTech 
fabric mask,disinfectant,hand sanitiser,french wine,Moderna 
french wine,french wine,Remdesivir (Veklury),rice,Johnson & Johnson (Janssen) 
fabric mask,dessert wine,flax seed,Vitamin C,AstraZeneca COVID-19
red wine,Fingertip pulse oximeter,,,Sinovac 
Zincovit,N95 mask,Moderna ,ppe kits,Covishield 
face shield,,Fingertip pulse oximeter,,Covaxin 
hand gloves,Surgical mask,,green grapes,Sputnik V  
almonds,ppe kits,,disinfectant,Sinopharm 
fabric mask,,water bottle,,Latex gloves
face shield,,,,Nitrile gloves
thermometers,Surgical mask,salt,,Vinyl gloves
Surgical mask,thermometers,,,Polyethylene gloves
N95 mask,ppe kits,Surgical mask,Polyethylene gloves,Neoprene gloves
salt,,Remdesivir (Veklury),,Isolation gowns
hand sanitiser,hand sanitiser,,Full-body suits,Surgical masks
hand sanitiser,Polyethylene gloves,ppe kits,,N95 respirators
N95 mask,mushroom P95 mask sauce,,,Face shields
energy drink,Surgical mask,,pet food,Shoe covers
disinfectant,hand sanitiser,,,Caps and hairnets
caps and hairnets,,,,Full-body suits
sprays,,,,Butyl rubber gloves
disinfectant,face shield,,,Purell Advanced Hand Sanitizer
hand sanitiser,,ppe kits,,Germ-X Original Hand Sanitizer
Azithromycin,,Zincovit,,Equate Hand Sanitizer
fabric mask,Surgical mask,red wine,N95 mask,Bath and Body Works Pocketbac Hand Sanitizer
thermometers,N95 mask,energy drink,hand sanitiser,Babyganics Alcohol-Free Foaming Hand Sanitizer
AstraZeneca COVID-28ong Sinopharm ,disinfectant,water bottle,Surgical mask,Medex Hand Sanitizer
Isolation gowns,ppe kits,Digital thermometerssta,Remdesivir (Veklury),EO Hand Sanitizer Spray
Zincovit,KN95 mask,Full-body suits,hand gloves,ArtNaturals Hand Sanitizer Gel
hand sanitiser,Azithromycin,,Booster vaccine,Megababe Squeaky Clean Hand Sanitizer
disinfectant,whole wheat Digital thermometerssta,almonds,thermometers,NxN Unscented Hand Sanitizer Gel.
hand gloves,antioxydant Polyethylene gloves,,,R99 mask
Surgical mask,face shield,,ppe kits,R100 mask
ppe kits,AstraZeneca COVID-28awberries,,,N95 mask
shoe covers,,,,N99 mask
Fingertip pulse oximeter,,,,N100 mask
whole wheat Digital thermometerssta,,body spray,,P95 mask
Surgical mask,,N95 mask ,,P99 mask
hand gloves,antioxydant Polyethylene gloves,,water bottle,P100 mask
disinfectant,oil,,,R95 mask
N95 mask,Moderna,ppe kits,,R99 mask
Vitamin D,hand gloves,,,Sodium hypochlorite
disinfectant,hand sanitiser,,,Hydrogen peroxide
thermometers,,,,Isopropyl alcohol
Azithromycin,sprays,Vitamin C,,Vitamin C
disinfectant,,babies food,,Vitamin D
Zincovit,butter,Fingertip pulse oximeter,KN95 mask,Vitamin E
AstraZeneca COVID-19,sprays,cereals,,Vitamin B12
Zincovit,hand sanitiser,Surgical mask,disinfectant,Vitamin B6
Zincovit,oil,Montera-Lx,hand gloves,Vitamin A
hand gloves,hand sanitiser,,N95 mask,Folic Acid
water bottle,N95 mask,,Zincovit,Calcium with Vitamin D
ppe kits,,disinfectant,,Iron with Vitamin C
Isolation gowns,Polyethylene gloves,red wine,,Fingertip pulse oximeter
hand gloves,Butyl rubber gloves,R100 mask,,Handheld pulse oximeter
fabric mask,Zincovit,hand sanitiser,hand sanitiser,Wrist-worn pulse oximeter
Zincovit,sprays,hand sanitiser,Polyethylene gloves,Tabletop pulse oximeter
Isolation gowns,disinfectant,Polyethylene gloves,disinfectant,Pediatric pulse oximeter
whole wheat Digital thermometerssta,Montera-Lx,Surgical mask,ppe kits,Earlobe pulse oximeter
fabric mask,disinfectant,Covishield ,mayonnaise,Forehead pulse oximeter
disinfectant,N95 mask,magazines,disinfectant,Zinc with Vitamin C
N95 mask,hand sanitiser,N95 mask,face shield,Digital thermometers
Remdesivir (Veklury),Moderna,,,Infrared thermometers
face shield,hand sanitiser,,Surgical mask,Mercury thermometers
pet food,disinfectant,,,Basal thermometers
yogurt Fingertip pulse oximeter,ppe kits,,,Ear thermometers
water bottle,,,,Disposable thermometers
shoe covers,,,,Chemical thermometers
Zincovit,,,,Galileo thermometers
Surgical mask,Digital thermometerssta,N95 mask,,Bimetallic thermometers
caps and hairnets,Montera-Lx,Fingertip pulse oximeter,,Resistance temperature detectors (RTDs)
caps and hairnets,Covaxin,dessert wine,,Quaternary ammonium compounds
hand sanitiser,ppe kits,Vitamin C,energy drink,Chlorine dioxide
caps and hairnets,fabric mask,carrots,Montera-Lx,Peracetic acid
Surgical mask,Surgical mask,Chloroquine,,Phenolic compounds
caps and hairnets,Montera-Lx,sN95 maskpoo,hand gloves,R100 mask
hand sanitiser,ppe kits,,,Nirmatrelvir with Ritonavir 
disinfectant,N95 mask,,,Remdesivir (Veklury)
Isolation gowns,Vitamin D,Surgical mask,,Molnupiravir
disinfectant,water bottle,,,Surgical mask
hand sanitiser,Zincovit,AstraZeneca COVID-28ong Sinopharm ,disinfectant,Fabric mask
red wine,,Covishield ,,Azithromycin
red wine,Full-body suits,hand sanitiser,thermometers,Hydroxycloroquine
water bottle,Surgical mask,,rice,Montera-Lx
Surgical mask,Azithromycin,hand gloves,,Chloroquine
disinfectant,,,,Nafamostat
Fingertip pulse oximeter,Vitamin C,,N95 mask ,Famotidine
disinfectant,,Surgical mask,,Umifenovir
caps and hairnets,disinfectant,,,Ivermectin
fabric mask,Booster vaccine,Zincovit,Covishield ,Corticosteroids
shoe covers,hand gloves,,,Tocilizumab
disinfectant,caps and hairnets,Remdesivir (Veklury),Montera-Lx,Clorox Healthcare Bleach Germicidal Wipes
N95 mask,,french wine,,Sani-Cloth Plus Germicidal Disposable Wipes
AstraZeneca COVID-19,shoe covers,,,PDI Super Sani-Cloth Germicidal Disposable Wipes
hand sanitiser,hand sanitiser,butter,N95 mask,Digital thermometers
Moderna ,light mayo,hand gloves,,CaviWipes
disinfectant,N95 mask,eggplant,disinfectant,Lysol Disinfectant Spray
energy drink,ppe kits,,,Clorox Healthcare Bleach Germicidal Spray
Butyl rubber gloves,barbecue sauce,Vitamin D,,Purell Healthcare Surface Disinfectant Spray
Surgical mask,,water bottle,,Oxivir Tb Spray
ppe kits,hand gloves, P95 mask,water bottle,Sporicidin Disinfectant Solution Spray
shoe covers,Vitamin C,,,Fluvoxamine
antioxydant Polyethylene gloves,Fingertip pulse oximeter,,,Bevacizumab
Azithromycin,,hand gloves,,KN95 mask
Isolation gowns,shoe covers,KN95 mask,,Pfizer-BioNTech 
hand sanitiser,hand sanitiser,,,Moderna 
Moderna,hand sanitiser,,Polyethylene gloves,Johnson & Johnson (Janssen) 
Surgical mask,water bottle,disinfectant,,AstraZeneca COVID-19
Booster vaccine,protein bar,water bottle,,Sinovac 
Vitamin C,AstraZeneca COVID-19,shoe covers,,Covishield 
N95 mask,Moderna,ppe kits,,Covaxin 
Montera-Lx,hand gloves,cider,,Sputnik V  
hand gloves,Booster vaccine,,water bottle,Sinopharm 
Surgical mask,Vitamin C,,green grapes,Latex gloves
N95 mask,Moderna,face shield,,Nitrile gloves
Covaxin,Covishield ,,,Vinyl gloves
Butyl rubber gloves,hand sanitiser,Polyethylene gloves,disinfectant,Polyethylene gloves
thermometers,Butyl rubber gloves,,,Neoprene gloves
water bottle,Vitamin C,Polyethylene gloves,,Isolation gowns
hand gloves,,,,Surgical masks
Surgical mask,protein bar,,N95 mask,N95 respirators
shoe covers,,,,Face shields
Isolation gowns,,whole wheat Digital thermometerssta,,Shoe covers
hand sanitiser,,,,Caps and hairnets
face shield,Zincovit,Remdesivir (Veklury),N95 mask,Full-body suits
sandwich,face shield,,,Butyl rubber gloves
disinfectant,disinfectant,,,Purell Advanced Hand Sanitizer
Azithromycin,,hand sanitiser,,Germ-X Original Hand Sanitizer
red wine,light mayo,hand sanitiser,,Equate Hand Sanitizer
N95 mask,whole wheat Digital thermometerssta,,AstraZeneca COVID-19,Bath and Body Works Pocketbac Hand Sanitizer
hand sanitiser,Montera-Lx,,Surgical mask,Babyganics Alcohol-Free Foaming Hand Sanitizer
hand gloves,melons,,,Medex Hand Sanitizer
Surgical mask,N95 mask,N95 mask,,EO Hand Sanitizer Spray
Remdesivir (Veklury),,,,ArtNaturals Hand Sanitizer Gel
Azithromycin,face shield,ppe kits,N95 mask,Megababe Squeaky Clean Hand Sanitizer
Moderna,face shield,,,NxN Unscented Hand Sanitizer Gel.
salad,cider,,hand gloves,R99 mask
hand gloves,,,,R100 mask
N95 mask,,Moderna ,,N95 mask
hand gloves,,,,N99 mask
Covaxin,Surgical mask,hand gloves,Covaxin,N100 mask
water bottle,salad,N95 mask,,P95 mask
N95 mask,disinfectant,Surgical mask,N95 mask,P99 mask
Isolation gowns,AstraZeneca COVID-28awberries,Surgical mask,,P100 mask
Azithromycin,Montera-Lx,water spray,KN95 mask,R95 mask
caps and hairnets,Booster vaccine,,AstraZeneca COVID-19,R99 mask
caps and hairnets,disinfectant,,,Sodium hypochlorite
caps and hairnets,,Booster vaccine,,Hydrogen peroxide
hand sanitiser,ppe kits,,,Isopropyl alcohol
face shield,N95 mask,Chloroquine,Covishield ,Vitamin C
fabric mask,,face shield,,Vitamin D
Surgical mask,N95 mask ,,,Vitamin E
Booster vaccine,Surgical mask,Covishield ,Butyl rubber gloves,Vitamin B12
Surgical mask,,,,Vitamin B6
Montera-Lx,Surgical mask,,Fingertip pulse oximeter,Vitamin A
Zincovit,,,,Folic Acid
yogurt Fingertip pulse oximeter,hand sanitiser,,,Calcium with Vitamin D
red wine,N95 mask ,,,Iron with Vitamin C
N95 mask,,,,Fingertip pulse oximeter
ppe kits,thermometers,Chloroquine,,Handheld pulse oximeter
sprays,,,,Wrist-worn pulse oximeter
sprays,hand gloves,,,Tabletop pulse oximeter
hand sanitiser,,N95 mask,,Pediatric pulse oximeter
sprays,,,,Earlobe pulse oximeter
Covishield ,Covishield ,ppe kits,N95 mask,Forehead pulse oximeter
disinfectant,,Chloroquine,,Zinc with Vitamin C
hand sanitiser,Full-body suits,face shield,soda,Digital thermometers
Surgical mask,N95 mask ,,,Infrared thermometers
Zincovit,Surgical mask,Remdesivir (Veklury),thermometers,Mercury thermometers
fabric mask,,,,Basal thermometers
hand gloves,N95 mask,,Surgical mask,Ear thermometers
N95 mask ,ppe kits,,,Disposable thermometers
Booster vaccine,,disinfectant,,Chemical thermometers
KN95 mask,cottage Sinopharm ,R100 mask,,Galileo thermometers
Moderna ,Surgical mask,,light mayo,Bimetallic thermometers
red wine,shoe covers,hand sanitiser,AstraZeneca COVID-28awberries,Resistance temperature detectors (RTDs)
Montera-Lx,,Surgical mask,,Quaternary ammonium compounds
sprays,Montera-Lx,,thermometers,Chlorine dioxide
KN95 mask,hand sanitiser,,face shield,Peracetic acid
sprays,,,,Phenolic compounds
Chloroquine,shoe covers,,,R100 mask
ppe kits,,,,Shoe covers
red wine,,Vitamin D,,Caps and hairnets
Booster vaccine,,Covishield ,,Full-body suits
sprays,butter,,,Butyl rubber gloves
Digital thermometersrmesan Sinopharm ,Surgical mask,KN95 mask,N95 mask,Purell Advanced Hand Sanitizer
Montera-Lx,,disinfectant,,Germ-X Original Hand Sanitizer
Azithromycin,Montera-Lx,ppe kits,thermometers,Equate Hand Sanitizer
magazines,N95 mask,,Full-body suits,Bath and Body Works Pocketbac Hand Sanitizer
caps and hairnets,KN95 mask,ppe kits,sprays,Babyganics Alcohol-Free Foaming Hand Sanitizer
Surgical mask,mint,,,Medex Hand Sanitizer
Isolation gowns,Surgical mask,Surgical mask,N95 mask,EO Hand Sanitizer Spray
disinfectant,mushroom P95 mask sauce,,,ArtNaturals Hand Sanitizer Gel
fabric mask,N95 mask,Remdesivir (Veklury),Covishield ,Megababe Squeaky Clean Hand Sanitizer
energy drink,Fingertip pulse oximeter,,,NxN Unscented Hand Sanitizer Gel.
Full-body suits,salt,energy drink,,R99 mask
Montera-Lx,,,,R100 mask
ppe kits,Fingertip pulse oximeter,,,N95 mask
hand sanitiser,Butyl rubber gloves,mushroom P95 mask sauce,,N99 mask
Surgical mask,hand gloves,Butyl rubber gloves,,N100 mask
caps and hairnets,shoe covers,N95 mask,,P95 mask
water bottle,fromage blanc,,Fingertip pulse oximeter,P99 mask
disinfectant,fabric mask,Moderna,Montera-Lx,P100 mask
sprays,cottage Sinopharm ,,,R95 mask
sprays,ppe kits,,,R99 mask
sprays,,,,Sodium hypochlorite
Booster vaccine,,eggplant,,Hydrogen peroxide
